name,areas,is_boss,data_type,enemy_type,initial_status,hp,pp,offense,defense,speed,guts,exp_reward,money_reward,drop_item,drop_chance,battle_tip,resistance_name,resistance_type,resistance_value,ability_name,ability_target,ability_aoe,ability_effect
Abstract Art,Moonside,FALSE,profile,normal,,301,60,67,79,19,7,4361,255,Refreshing Herb,4/128,,,,,,,,
Annoying Old Party Man,Twoson,FALSE,profile,normal,,99,0,20,25,6,50,130,32,Protein Drink,2/128,,,,,,,,
Annoying Reveler,Fourside,FALSE,profile,normal,,288,0,58,77,17,50,2373,268,Protein Drink,8/128,,,,,,,,
Arachnid!,Rainy Circle,FALSE,profile,insect,,216,0,61,30,23,3,4933,296,Jar of Hot Sauce,16/128,,,,,,,,
Arachnid!!!,Pyramid,FALSE,profile,insect,,344,0,87,86,20,4,10449,412,Beef Jerky,4/128,,,,,,,,
Armored Frog,Saturn Valley Area,FALSE,profile,normal,,202,0,37,108,7,5,1566,77,Broken Spray Can,16/128,,,,,,,,
Atomic Power Robot,Stonehenge,FALSE,profile,metallic,,594,0,119,133,25,8,26937,730,Super Bomb,8/128,,,,,,,,
Attack Slug,Giant Step/Winters,FALSE,profile,insect,Can't concentrate,30,6,9,2,1,0,27,6,Bomb,1/128,,,,,,,,
Bad Buffalo,Dusty Dunes Desert,FALSE,profile,normal,,341,0,64,104,11,5,4108,172,Wet Towel,4/128,,,,,,,,
Beautiful UFO,Scaraba,FALSE,profile,metallic,,339,15,86,87,59,1,8257,426,,,,,,,,,,
Big Pile of Puke,Deep Darkness,FALSE,profile,normal,,631,0,120,158,16,26,19659,728,Meteotite,2/128,,,,,,,,
Bionic Kraken,Cave of the Past,FALSE,profile,normal,,900,60,155,195,42,1,50308,960,Gutsy Bat,1/128,,,,,,,,
Black Antoid,Giant Step,FALSE,profile,insect,,34,25,14,13,4,3,37,7,Cookie,32/128,,,,,,,,
Care Free Bomb,Magicant,FALSE,profile,metallic,,504,0,135,215,31,15,14941,641,Super Bomb,4/128,,,,,,,,
Cave Boy (1),Winters,FALSE,profile,normal,,314,0,21,33,5,0,618,17,Picnic Lunch,128/128,,,,,,,,
Cave Boy (2),Winters,FALSE,profile,normal,,314,0,21,33,79,0,618,17,Double Burger,4/128,,,,,,,,
Chomposaur,Lost Underworld,FALSE,profile,normal,PSI Shield α,1288,320,139,183,17,3,44378,896,Magic Fry Pan,1/128,,,,,,,,
Coil Snake,Onett/Happy Happy Village/Threed/Saturn Valley Area,FALSE,profile,normal,,18,0,3,4,2,0,1,4,Cookie,4/128,,,,,,,,
Conducting Menace,Pink Cloud,FALSE,profile,normal,,445,238,107,107,20,5,14792,574,Bottle of Water,4/128,,,,,,,,
Conducting Spirit,Lumine Hall,FALSE,profile,normal,,587,329,130,139,26,5,30390,804,Brain Food Lunch,1/128,,,,,,,,
Cop,Onett,FALSE,profile,normal,,75,0,15,18,5,7,86,18,Hamburger,16/128,,,,,,,,
Cranky Lady,Twoson,FALSE,profile,normal,,95,0,16,18,6,3,200,17,Handbag Strap,2/128,,,,,,,,
Crooked Cop,Twoson,FALSE,profile,normal,,140,0,20,24,15,8,492,159,Boiled Egg,4/128,,,,,,,,
Crazed Sign,Fourside,FALSE,profile,metallic,,295,98,64,96,17,5,3618,244,Big Bottle Rocket,2/128,,,,,,,,
Crested Booka,Dusty Dunes Desert,FALSE,profile,normal,,265,0,53,73,17,24,3011,130,Picnic Lunch,4/128,,,,,,,,
Criminal Caterpillar,Dusty Dunes Desert,FALSE,profile,insect,,250,168,37,16,134,0,30384,0,,,,,,,,,,
Cute Li'l UFO,Peaceful Rest Valley/Dusty Dunes Desert,FALSE,profile,metallic,,162,25,49,32,58,1,1619,110,,,,,,,,,,
Dali's Clock,Moonside/Dungeon Man,FALSE,profile,normal,,296,0,65,66,4,5,2503,314,PSI Caramel,1/128,,,,,,,,
Deadly Mouse,Fourside Sewers,FALSE,profile,normal,,416,0,63,98,18,225,9225,406,Rust Promoter DX,2/128,,,,,,,,
Demonic Petunia,Deep Darkness,FALSE,profile,normal,,478,0,102,111,26,5,15171,724,Spicy Jerky,2/128,,,,,,,,
Desert Wolf,Dusty Dunes Desert,FALSE,profile,normal,,247,0,57,67,33,2,3740,114,Sudden Guts Pill,2/128,,,,,,,,
Dread Skelpion,Scaraba,FALSE,profile,insect,,214,125,82,57,40,88,9908,609,Ketchup Packet,16/128,,,,,,,,
Ego Orb,Lost Underworld,FALSE,profile,normal,,592,0,125,140,17,1,24180,836,Skip Sandwich DX,8/128,,,,,,,,
Elder Batty,Rainy Circle,FALSE,profile,normal,,294,0,66,72,33,8,4177,371,Double Burger,4/128,,,,,,,,
Electro Swoosh,Magicant,FALSE,profile,normal,,543,338,140,156,40,5,17075,791,Sudden Guts Pill,4/128,,,,,,,,
Enraged Fire Plug,Moonside,FALSE,profile,normal,,309,0,60,81,14,5,4321,346,Sudden Guts Pill,1/128,,,,,,,,
Even Slimier Little Pile,Deep Darkness,FALSE,profile,normal,,326,0,103,101,22,9,15075,579,Multi Bottle Rocket,4/128,,,,,,,,
Evil Elemental,Fire Spring,FALSE,profile,normal,,564,0,121,136,30,7,35737,853,Luxury Jerky,2/128,,,,,,,,
Evil Eye,Onett (Invaded),FALSE,profile,normal,,720,400,141,162,38,25,46376,8960,Meteotite,8/128,,,,,,,,
Extra Cranky Lady,Fourside,FALSE,profile,normal,,277,0,48,70,17,5,3651,134,Handbag Strap,16/128,,,,,,,,
Farm Zombie,"Saturn Valley Area,Belch's Factory",FALSE,profile,normal,,171,0,31,24,10,15,700,58,Skip Sandwich,8/128,,,,,,,,
Fierce Shattered Man,Pyramid,FALSE,profile,normal,,516,0,101,116,12,5,17432,577,Mummy Wrap,64/128,,,,,,,,
Filthy Attack Roach,Fourside Sewers,FALSE,profile,insect,,399,0,84,33,77,9,10543,432,Secret Herb,8/128,,,,,,,,
Final Starman,Cave of the Past,FALSE,profile,normal,PSI Shield β,840,860,178,187,47,25,61929,915,PSI Caramel,4/128,,,,,,,,
Fobby,Lumine Hall,FALSE,profile,normal,Can't concentrate,240,19,98,84,5,5,18348,620,PSI Caramel,4/128,,,,,,,,
Foppy,Belch's Factory,FALSE,profile,normal,Can't concentrate,120,10,29,9,1,5,1311,93,PSI Caramel,2/128,,,,,,,,
French Kiss of Death,Magicant,FALSE,profile,normal,,588,0,160,160,30,7,19210,879,Horn of Life,2/128,,,,,,,,
Ghost of Starman,Onett (Invaded)/Cave of the Past,FALSE,profile,normal,,750,462,152,170,46,43,48695,807,Goddess Ribbon,1/128,,,,,,,,
Gigantic Ant,Desert Gold Mine,FALSE,profile,insect,,308,81,54,112,17,5,3980,304,Double Burger,4/128,,,,,,,,
Great Crested Booka,Scaraba,FALSE,profile,normal,,452,0,100,110,20,28,16365,604,Beef Jerky,2/128,,,,,,,,
Gruff Goat,Winters,FALSE,profile,normal,,45,0,8,23,12,0,20,9,Salt Packet,16/128,,,,,,,,
Guardian Hieroglyph,Pyramid,FALSE,profile,normal,,470,126,94,106,20,20,13064,470,Pharaoh's Curse,8/128,,,,,,,,
Handsome Tom,Threed,FALSE,profile,normal,,133,16,27,25,11,5,520,45,Tin of Cocoa,8/128,,,,,,,,
